"Country","Player","Goals","X1982","X1986","X2010","X2014","X1962","X1966","X1970","X1974","X1994","X1998","X1990","X2002","X1930","X1950","X2006","X1938","X1934","X1954","X1958","X1978"
"Denmark","Preben Elkjær Larsen",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark","Jesper Olsen",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark","Brian Laudrup",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Denmark","Michael Laudrup",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Denmark","Dennis Rommedahl",2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Denmark","Nicklas Bendtner",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark","John Eriksen",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark","Thomas Helveg",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Denmark","Martin Jørgensen",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Denmark","Søren Lerby",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark","Peter Møller",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Denmark","Allan Nielsen",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Denmark","Marc Rieper",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Denmark","Ebbe Sand",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Democratic Republic of Congo","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Germany","Joachim Streich",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"East Germany","Martin Hoffmann",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"East Germany","Jürgen Sparwasser",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"East Germany","Own goals",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador","Agustín Delgado",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"Ecuador","Enner Valencia",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador","Carlos Tenorio",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Ecuador","Iván Kaviedes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ecuador","Edison Méndez",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Egypt","Abdulrahman Fawzi",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Egypt","Magdi Abdelghani",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"El Salvador","Luis Ramírez",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Gary Lineker",10,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"England","Geoff Hurst",5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Bobby Charlton",4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Michael Owen",4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"England","David Beckham",3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"England","Steven Gerrard",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"England","Roger Hunt",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"England","Nat Lofthouse",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"England","David Platt",3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"England","Ivor Broadis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"England","Tom Finney",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
